0.555008	5.549870	-1.916238	-3.078624
0.942865	5.519760	-1.498015	-3.078879
1.214598	5.489716	-1.195843	-3.079275
1.405571	5.459800	-0.974460	-3.079769
1.539669	5.430051	-0.810050	-3.080332
1.633209	5.400499	-0.686347	-3.080944
1.697463	5.371162	-0.592110	-3.081589
1.740317	5.342053	-0.519478	-3.082257
1.767348	5.313180	-0.462891	-3.082941
1.782552	5.284550	-0.418363	-3.083634
1.788825	5.256165	-0.383008	-3.084332
1.788289	5.228029	-0.354707	-3.085032
1.782521	5.200141	-0.331888	-3.085732
1.772703	5.172502	-0.313370	-3.086428
1.759733	5.145111	-0.298257	-3.087121
1.744297	5.117968	-0.285863	-3.087808
1.726927	5.091070	-0.275653	-3.088489
1.708041	5.064417	-0.267213	-3.089163
1.687964	5.038007	-0.260213	-3.089830
1.666958	5.011837	-0.254391	-3.090488
1.645229	4.985906	-0.249538	-3.091139
1.622945	4.960212	-0.245486	-3.091780
1.600242	4.934752	-0.242097	-3.092414
1.577229	4.909525	-0.239258	-3.093038
1.553996	4.884527	-0.236879	-3.093653
1.530616	4.859758	-0.234883	-3.094259
1.507151	4.835214	-0.233208	-3.094855
1.483649	4.810894	-0.231802	-3.095443
1.460151	4.786795	-0.230623	-3.096022
1.436690	4.762915	-0.229633	-3.096591
1.413296	4.739251	-0.228804	-3.097151
1.389990	4.715802	-0.228110	-3.097702
1.366792	4.692566	-0.227530	-3.098244
1.343717	4.669539	-0.227046	-3.098776
1.320777	4.646721	-0.226644	-3.099300
1.297983	4.624108	-0.226310	-3.099815
1.275343	4.601699	-0.226036	-3.100321
1.252864	4.579492	-0.225810	-3.100818
1.230551	4.557484	-0.225627	-3.101306
1.208409	4.535674	-0.225480	-3.101785
1.186440	4.514059	-0.225363	-3.102256
1.164647	4.492637	-0.225272	-3.102718
1.143031	4.471407	-0.225204	-3.103172
1.121595	4.450367	-0.225154	-3.103618
1.100338	4.429514	-0.225121	-3.104055
1.079261	4.408847	-0.225102	-3.104483
1.058364	4.388363	-0.225095	-3.104904
1.037647	4.368061	-0.225099	-3.105316
1.017108	4.347939	-0.225112	-3.105720
0.996747	4.327996	-0.225132	-3.106116
0.976564	4.308228	-0.225160	-3.106504
0.956558	4.288635	-0.225193	-3.106885
0.936726	4.269215	-0.225232	-3.107257
0.917069	4.249966	-0.225276	-3.107622
0.897584	4.230886	-0.225324	-3.107979
0.878270	4.211974	-0.225375	-3.108329
0.859127	4.193228	-0.225431	-3.108670
0.840152	4.174645	-0.225489	-3.109005
0.821344	4.156226	-0.225550	-3.109332
0.802702	4.137967	-0.225614	-3.109652
0.784223	4.119867	-0.225680	-3.109964
0.765908	4.101926	-0.225748	-3.110269
0.747754	4.084140	-0.225819	-3.110567
0.729759	4.066509	-0.225891	-3.110858
0.711923	4.049031	-0.225966	-3.111142
0.694243	4.031704	-0.226042	-3.111419
0.676718	4.014527	-0.226120	-3.111689
0.659347	3.997499	-0.226199	-3.111953
0.642129	3.980618	-0.226280	-3.112209
0.625061	3.963882	-0.226363	-3.112459
0.608142	3.947291	-0.226447	-3.112702
0.591372	3.930842	-0.226532	-3.112938
0.574747	3.914535	-0.226619	-3.113168
0.558268	3.898367	-0.226707	-3.113392
0.541933	3.882338	-0.226797	-3.113608
0.525739	3.866446	-0.226888	-3.113819
0.509687	3.850691	-0.226980	-3.114023
0.493774	3.835069	-0.227073	-3.114221
0.478000	3.819581	-0.227168	-3.114413
0.462362	3.804225	-0.227264	-3.114599
0.446860	3.788999	-0.227361	-3.114778
0.431492	3.773903	-0.227459	-3.114952
0.416257	3.758935	-0.227559	-3.115119
0.401154	3.744094	-0.227659	-3.115281
0.386181	3.729378	-0.227761	-3.115436
0.371337	3.714787	-0.227864	-3.115586
0.356621	3.700319	-0.227968	-3.115730
0.342032	3.685973	-0.228073	-3.115868
0.327569	3.671748	-0.228179	-3.116001
0.313230	3.657643	-0.228286	-3.116128
0.299014	3.643657	-0.228394	-3.116249
0.284920	3.629788	-0.228503	-3.116365
0.270946	3.616035	-0.228614	-3.116475
0.257093	3.602397	-0.228725	-3.116580
0.243358	3.588874	-0.228837	-3.116679
0.229740	3.575464	-0.228951	-3.116773
0.216239	3.562166	-0.229065	-3.116862
0.202853	3.548978	-0.229180	-3.116945
0.189581	3.535901	-0.229297	-3.117023
0.176422	3.522932	-0.229414	-3.117096
0.338660	3.596711	-0.230871	-3.027180
0.497619	3.670995	-0.236049	-2.937327
0.653770	3.745864	-0.244558	-2.847536
0.807427	3.821400	-0.256167	-2.757806
0.958786	3.897684	-0.270762	-2.668136
1.107959	3.974797	-0.288314	-2.578524
1.254992	4.052824	-0.308861	-2.488971
1.399876	4.131847	-0.332496	-2.399475
1.542557	4.211950	-0.359357	-2.310036
1.682945	4.293221	-0.389623	-2.220653
1.820910	4.375744	-0.423511	-2.131324
1.956290	4.459610	-0.461271	-2.042049
2.088890	4.544907	-0.503191	-1.952826
2.218481	4.631726	-0.549589	-1.863656
2.344804	4.720161	-0.600822	-1.774535
2.467561	4.810307	-0.657282	-1.685464
2.586421	4.902260	-0.719398	-1.596441
2.701018	4.996120	-0.787639	-1.507463
2.810942	5.091988	-0.862515	-1.418530
2.915746	5.189967	-0.944581	-1.329640
3.014937	5.290163	-1.034437	-1.240790
3.107977	5.392687	-1.132732	-1.151979
